soc,physical_level,MET,E_human_J_per_h
33-9031,4.62,4.1865,1226142.1199999999
33-9032,4.11,3.76575,1102912.86
33-9091,1.98,2.0084999999999997,588249.4799999999
33-9092,2.5,2.4375,713895.0
33-9093,3.0,2.8499999999999996,834707.9999999999
33-9099,3.91,3.60075,1054587.6600000001
35-1011,3.21,3.02325,885449.46
35-1012,3.48,3.246,950688.48
35-2011,2.14,2.1405000000000003,626909.64
35-2012,2.02,2.0415,597914.52
35-2013,2.54,2.4705,723560.04
35-2014,1.48,1.5959999999999999,467436.4799999999
35-2015,1.65,1.7362499999999998,508512.89999999997
35-2021,1.88,1.926,564086.88
35-3011,2.57,2.49525,730808.82
35-3023,2.545,2.4746249999999996,724768.1699999998
35-3031,3.0,2.8499999999999996,834707.9999999999
35-3041,2.8,2.6849999999999996,786382.7999999998
35-9011,3.04,2.883,844373.04
35-9021,1.95,1.98375,581000.7
35-9031,2.09,2.0992499999999996,614828.3399999999
37-1011,3.74,3.4605,1013511.2400000001
37-1012,2.93,2.79225,817794.18
37-2011,2.76,2.6519999999999997,776717.7599999999
37-2012,1.72,1.7939999999999998,525426.72
37-2021,2.5,2.4375,713895.0
37-3011,1.25,1.40625,411862.5
37-3012,2.31,2.28075,667986.0599999999
37-3013,1.44,1.563,457771.44
39-1013,3.66,3.3945,994181.1599999999
39-1022,4.14,3.7904999999999998,1110161.64
39-2011,2.62,2.5364999999999998,742890.1199999999
39-2021,2.93,2.79225,817794.18
39-3011,1.51,1.62075,474685.26
39-3012,2.75,2.64375,774301.5
39-3021,4.14,3.7904999999999998,1110161.64
39-3031,2.7,2.6025,762220.2000000001
39-3091,3.24,3.048,892698.2400000001
39-3092,2.4,2.3549999999999995,689732.3999999999
39-3093,1.46,1.5795,462603.95999999996
39-4011,3.35,3.13875,919277.1
39-4021,2.5,2.4375,713895.0
39-4031,3.7,3.4274999999999998,1003846.2
39-5011,1.43,1.5547499999999999,455355.18
39-5012,2.95,2.80875,822626.7
39-5091,2.57,2.49525,730808.82
39-5092,2.0,2.025,593082.0
39-5093,1.75,1.8187499999999999,532675.4999999999
39-5094,3.88,3.5759999999999996,1047338.8799999999
39-6011,3.17,2.9902499999999996,875784.4199999998
39-6012,3.73,3.45225,1011094.98
39-7011,2.39,2.34675,687316.14
39-7012,2.82,2.7015,791215.32
39-9011,1.82,1.8765,549589.3200000001
39-9031,2.67,2.57775,754971.4199999999
39-9032,3.86,3.5595,1042506.36
39-9041,3.57,3.3202499999999997,972434.82
41-1011,3.24,3.048,892698.2400000001
41-1012,4.25,3.8812499999999996,1136740.5
41-2011,2.87,2.74275,803296.62
41-2012,3.78,3.4934999999999996,1023176.2799999998
41-2021,3.7,3.4274999999999998,1003846.2
41-2022,4.48,4.071,1192314.48
41-2031,3.46,3.2295,945855.96
41-3011,4.12,3.774,1105329.12
41-3021,3.88,3.5759999999999996,1047338.8799999999
41-3031,4.42,4.0215,1177816.92
41-3041,4.6,4.17,1221309.5999999999
41-4011,3.825,3.530625,1034049.4500000001
41-4012,4.07,3.7327500000000002,1093247.82
41-9011,2.02,2.0415,597914.52
41-9012,1.38,1.5134999999999998,443273.87999999995
41-9021,3.9,3.5925,1052171.4
41-9022,4.4,4.005,1172984.4
41-9031,4.19,3.83175,1122242.9400000002
41-9041,3.61,3.3532499999999996,982099.8599999999
41-9091,3.52,3.279,960353.52
43-1011,4.47,4.062749999999999,1189898.22
43-2011,3.79,3.50175,1025592.54
43-2021,4.38,3.9884999999999997,1168151.88
43-3011,4.16,3.807,1114994.1600000001
43-3021,4.67,4.22775,1238223.42
43-3031,4.46,4.0545,1187481.96
43-3041,4.07,3.7327500000000002,1093247.82
43-3051,4.37,3.98025,1165735.62
43-3061,4.48,4.071,1192314.48
43-3071,4.28,3.906,1143989.28
43-4011,4.19,3.83175,1122242.9400000002
43-4021,4.52,4.103999999999999,1201979.5199999998
43-4031,4.62,4.1865,1226142.1199999999
43-4041,4.42,4.0215,1177816.92
43-4051,4.54,4.1205,1206812.04
43-4061,4.7,4.2524999999999995,1245472.1999999997
43-4071,4.56,4.137,1211644.5599999998
43-4081,4.55,4.12875,1209228.3
43-4111,4.93,4.44225,1301046.18
43-4121,4.65,4.21125,1233390.9
43-4131,4.92,4.434,1298629.92
43-4141,3.66,3.3945,994181.1599999999
43-4151,4.31,3.9307499999999993,1151238.0599999998
43-4161,4.64,4.202999999999999,1230974.64
43-4171,4.57,4.14525,1214060.82
43-4181,4.83,4.35975,1276883.58
43-5011,3.705,3.431625,1005054.3300000001
43-5021,1.82,1.8765,549589.3200000001
43-5031,4.89,4.409249999999999,1291381.1399999997
43-5032,4.12,3.774,1105329.12
43-5041,3.41,3.18825,933774.66
43-5051,3.66,3.3945,994181.1599999999
43-5052,1.74,1.8105,530259.24
43-5053,2.98,2.8335,829875.48
43-5061,4.35,3.9637499999999997,1160903.0999999999
43-5071,3.25,3.05625,895114.5
43-5111,3.89,3.58425,1049755.1400000001
43-6011,4.41,4.013249999999999,1175400.66
43-6012,4.33,3.94725,1156070.58
43-6013,4.46,4.0545,1187481.96
43-6014,4.38,3.9884999999999997,1168151.88
43-9021,4.71,4.26075,1247888.46
43-9022,4.15,3.79875,1112577.9000000001
43-9031,4.47,4.062749999999999,1189898.22
43-9041,4.42,4.0215,1177816.92
43-9051,3.29,3.08925,904779.54
43-9061,4.25,3.8812499999999996,1136740.5
43-9071,3.99,3.66675,1073917.74
43-9081,4.1,3.7574999999999994,1100496.5999999999
43-9111,4.78,4.3185,1264802.28
45-1011,2.91,2.77575,812961.66
45-2011,3.93,3.61725,1059420.18
45-2021,2.97,2.82525,827459.2200000001
45-2041,1.86,1.9095,559254.36
45-2091,2.38,2.3385,684899.88
45-2092,2.64,2.553,747722.64
45-2093,2.5,2.4375,713895.0
45-3031,2.47,2.41275,706646.22
45-4011,3.17,2.9902499999999996,875784.4199999998
45-4021,1.11,1.29075,378034.86000000004
45-4022,2.44,2.388,699397.44
45-4023,3.52,3.279,960353.52
47-1011,2.9749999999999996,2.8293749999999998,828667.3499999999
47-2011,3.15,2.97375,870951.9
47-2021,1.77,1.8352499999999998,537508.02
47-2022,2.07,2.08275,609995.82
47-2031,2.63,2.5447499999999996,745306.3799999999
47-2041,1.35,1.48875,436025.10000000003
47-2042,1.81,1.86825,547173.06
47-2043,2.01,2.03325,595498.2599999999
47-2044,1.32,1.464,428776.32
47-2051,2.01,2.03325,595498.2599999999
47-2053,1.59,1.68675,494015.33999999997
47-2061,2.25,2.23125,653488.5
47-2071,2.16,2.157,631742.16
47-2072,2.11,2.11575,619660.86
47-2073,2.45,2.39625,701813.7000000001
47-2081,1.37,1.50525,440857.62
47-2082,1.07,1.2577500000000001,368369.82
47-2111,2.36,2.322,680067.36
47-2121,2.01,2.03325,595498.2599999999
47-2131,1.58,1.6784999999999999,491599.07999999996
47-2132,1.85,1.9012499999999999,556838.1
47-2141,1.62,1.7115,501264.12000000005
47-2142,1.91,1.9507499999999998,571335.6599999999
47-2151,2.1,2.1075,617244.6
47-2152,2.5300000000000002,2.46225,721143.78
47-2161,2.23,2.21475,648655.98
47-2171,1.79,1.85175,542340.54
47-2181,2.16,2.157,631742.16
47-2211,2.5,2.4375,713895.0
47-2221,1.39,1.52175,445690.13999999996
47-2231,2.7,2.6025,762220.2000000001
47-3011,1.43,1.5547499999999999,455355.18
47-3012,1.86,1.9095,559254.36
47-3013,2.74,2.6355,771885.24
47-3014,1.04,1.233,361121.04000000004
47-3015,2.11,2.11575,619660.86
47-3016,2.71,2.61075,764636.46
47-4011,4.125,3.7781249999999997,1106537.25
47-4021,3.34,3.1304999999999996,916860.8399999999
47-4031,2.04,2.058,602747.04
47-4041,2.6,2.52,738057.6
47-4051,3.01,2.8582499999999995,837124.2599999998
47-4061,2.08,2.091,612412.0800000001
47-4071,1.59,1.68675,494015.33999999997
47-4091,1.36,1.497,438441.36000000004
47-4099,3.23,3.0397499999999997,890281.9799999999
47-5011,2.42,2.3715,694564.92
47-5012,1.64,1.7279999999999998,506096.6399999999
47-5013,2.22,2.2065,646239.7200000001
47-5022,1.92,1.9589999999999999,573751.9199999999
47-5023,1.79,1.85175,542340.54
47-5032,2.42,2.3715,694564.92
47-5041,1.85,1.9012499999999999,556838.1
47-5043,1.42,1.5465,452938.92
47-5044,1.53,1.6372499999999999,479517.77999999997
47-5051,1.64,1.7279999999999998,506096.6399999999
47-5071,1.97,2.00025,585833.22
47-5081,2.21,2.19825,643823.46
49-1011,3.82,3.5264999999999995,1032841.3199999998
49-2011,4.11,3.76575,1102912.86
49-2021,4.01,3.6832499999999997,1078750.26
49-2022,4.44,4.038,1182649.4400000002
49-2091,4.15,3.79875,1112577.9000000001
49-2092,2.92,2.784,815377.9199999999
49-2093,3.74,3.4605,1013511.2400000001
49-2094,4.16,3.807,1114994.1600000001
49-2095,3.93,3.61725,1059420.18
