OCC_CODE,title_2024,H_info_rti,H_info_eloundou,job_zone,wage_median,z_H_info_rti,z_job_zone,z_log_wage,IRI_v2,IRI_v2_pct,IRI_v1,delta_emp_ann
11-3051,Industrial Production Managers,0.6113374750765759,0.9292548973563124,3.6666666666666665,121440.0,1.010111165247693,0.5435469045843199,1.7098076439318308,3.2634657137638436,85.38681948424069,2.6640603447374587,0.0475617754401707
17-2051,Civil Engineers,0.7179822076670698,0.9443722943722944,4.0,99590.0,1.1828252231945502,0.8471236332085413,1.2120340104228395,3.241982866825931,85.24355300859598,2.567090719441527,0.0271544554037528
29-1041,Optometrists,-0.3333048509050277,1.0,5.0,134830.0,-0.5197628891524738,1.7578538190812054,1.9722835443062252,3.210374474234957,85.10028653295129,4.595839073720613,0.0122289360221843
29-1071,Physician Assistants,-0.3274809170371927,1.0,5.0,133260.0,-0.5103308691445998,1.7578538190812054,1.9428911510528317,3.1904141009894373,84.9570200573066,4.56644668046722,0.0530937855851185
19-2041,"Environmental Scientists and Specialists, Including Health",0.5997200773586828,0.9376333282261012,4.75,80060.0,0.9912964722581706,1.5301712726130394,0.6642546696514643,3.185722414522674,84.81375358166189,2.659017472903682,0.0015139756622311
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",0.7314443255521048,0.8260869565217392,4.0,96310.0,1.2046274908922106,0.8471236332085413,1.1279930624651056,3.1797441865658573,84.67048710601719,1.7222996501303756,-0.0357622860518463
17-2031,Bioengineers and Biomedical Engineers,0.5681375945797766,0.7692307692307693,4.0,106950.0,0.9401477785694976,0.8471236332085413,1.3909579769415394,3.1782293887195783,84.5272206303725,1.6195949713395064,0.0201987194499222
29-1081,Podiatrists,-0.5540043588863801,1.0,5.0,152800.0,-0.8771917718025289,1.7578538190812054,2.286255498489686,3.1669175457683627,84.38395415472779,4.909811027904075,-0.0051709080387547
29-1131,Veterinarians,-0.2547414496893593,0.918918918918919,5.0,125510.0,-0.3925273145445006,1.7578538190812054,1.792532429908538,3.157858934445243,84.2406876790831,3.894616377191336,0.0158309819094184
25-1122,"Communications Teachers, Postsecondary",0.4860250505932373,0.875,5.0,77800.0,0.8071642702821022,1.7578538190812054,0.5923963658449586,3.1574144552082664,84.09742120343839,2.412016539473145,0.000959694665205
